latitude,longitude,popularity,surcharge
40.7507927,-74.0056333,6278.0,1.36666666667
40.7795072,-73.9555814,21286.0,1.4
40.741617,-73.993739,7494.0,1.53333333333
40.740442,-73.994593,11614.0,1.55
40.743389,-73.986147,4581.0,1.475
40.7766012,-73.9466301,3787.0,1.28
40.741031,-73.994165,5664.0,1.53333333333
40.741471,-73.985428,6194.0,1.55
40.7388264,-73.983148,6084.0,1.44
40.742233,-73.993292,9285.0,1.6
40.74108,-74.001555,8123.0,1.44
40.742901,-73.992805,6189.0,1.475
40.737147,-73.988578,6910.0,1.45
40.73986,-73.995018,7296.0,1.44
40.7416561,-74.0048858,4901.0,1.375
40.737729,-73.9881523,5605.0,1.45
40.739272,-73.995446,5452.0,1.53333333333
40.744627,-73.985243,4806.0,1.6
40.7415414,-73.98751,1476.0,1.5
40.742708,-73.984529,5171.0,1.44
40.737361,-73.99684,7906.0,1.5
40.743568,-73.992318,5148.0,1.52
40.739088,-73.991375,6221.0,1.53333333333
40.7514557,-73.9760254,14417.0,1.47142857143
40.742772,-73.986597,3104.0,1.44
40.7668574,-73.9537436,7575.0,1.2
40.738317,-73.987726,6276.0,1.43333333333
40.741351,-73.981312,3038.0,1.55
40.7795072,-73.9555814,21286.0,1.4
40.73941,-73.9767,3204.0,1.41666666667
40.7864873,-73.9721756,7454.0,1.15
40.740196,-73.986359,5834.0,1.55
40.7514557,-73.9760254,14417.0,1.47142857143
40.742587,-73.98041,3505.0,1.55
40.7784828,-73.9452574,3935.0,1.275
40.776888,-73.9493698,4419.0,1.32
40.762967,-73.973968,8912.0,1.55
40.773622,-73.945728,2439.0,1.2
40.745294,-73.998486,6329.0,1.45
40.7515147,-73.9939557,9954.0,1.52
40.758532,-73.9888431,8843.0,1.44
40.744008,-73.985696,2581.0,1.63333333333
40.7616111,-73.9686338,8410.0,1.48333333333
40.749101,-73.992006,15123.0,1.6
40.739497,-73.982665,3276.0,1.44
40.7616583,-73.9865645,7623.0,1.36
40.749706,-73.991563,18315.0,1.52
40.7609292,-73.9691318,5694.0,1.425
40.763659,-73.973465,10624.0,1.45
40.7510799,-74.0024878,2855.0,1.45
40.7823112,-73.9485053,2697.0,1.26666666667
40.74769,-74.004168,5723.0,1.6
40.743425,-73.999848,3319.0,1.6
40.739522,-73.986849,4791.0,1.44
40.756567,-73.990276,10133.0,1.44
40.736668,-73.997341,4941.0,1.5
40.7409556,-73.9746297,2143.0,1.5
