latitude,longitude,popularity,surcharge
40.7515147,-73.9939557,1283.0,1.3
40.7628026,-73.9931565,288.0,1.0
40.7629156,-73.9856481,759.0,1.0
40.7391764,-73.9799917,306.0,1.6
40.754177,-73.984596,1180.0,1.1
40.744061,-74.006811,8008.0,1.8
40.7510799,-74.0024878,5904.0,1.4
40.755469,-73.9856025,1626.0,1.1
40.764324,-73.977196,401.0,1.0
40.7508962,-73.9944062,468.0,1.45
40.7823112,-73.9485053,256.0,1.0
40.7313565,-73.982557,2378.0,1.75
40.7643653,-73.9616082,210.0,1.0
40.763113,-73.962515,185.0,1.0
40.7672731,-73.9841758,286.0,1.0
40.7766012,-73.9466301,131.0,1.0
40.7313938,-73.988565,1227.0,1.85
40.739755,-74.0025244,5250.0,1.5
40.744779,-73.975881,315.0,1.1
40.755035,-73.986639,1317.0,1.1
40.744061,-74.006811,8008.0,1.8
40.742026,-73.982912,283.0,1.5
40.749706,-73.991563,964.0,1.45
40.7616583,-73.9865645,2043.0,1.0
40.742901,-73.992805,821.0,1.45
40.739755,-74.0025244,5250.0,1.5
40.7596264,-73.9954726,1091.0,1.0
40.755035,-73.986639,1317.0,1.1
40.7635282,-73.9852016,1191.0,1.0
40.7635979,-73.9714037,611.0,1.0
40.749592,-74.002785,6945.0,1.4
40.755469,-73.9856025,1626.0,1.1
40.7284251,-73.9996723,3446.0,1.56666666667
40.74347,-74.007238,3586.0,1.5
40.754177,-73.984596,1180.0,1.1
40.7572335,-73.9897914,2573.0,1.1
40.7713964,-73.9564729,1521.0,1.0
40.748974,-74.003236,312.0,1.4
40.7733322,-73.9550869,503.0,1.0
40.74047,-73.998287,1733.0,1.75
40.741617,-73.993739,2910.0,1.6
40.7755451,-73.9822819,89.0,1.0
40.747168,-73.9854922,5482.0,1.2
40.731065,-74.001413,1938.0,1.56666666667
40.750209,-74.002332,4263.0,1.4
40.7515147,-73.9939557,1283.0,1.3
40.775929,-73.947122,66.0,1.0
40.7626973,-73.9832221,1591.0,1.0
40.7959319,-73.9727152,48.0,1.0
40.8029837,-73.9638672,902.0,1.0
40.7835456,-73.9476028,269.0,1.0
40.74108,-74.001555,1798.0,1.5
40.7313565,-73.982557,2378.0,1.75
40.732347,-73.984941,3097.0,1.75
40.7633783,-73.9964573,3130.0,1.0
40.7692182,-73.9847694,426.0,1.0
40.7697674,-73.9545659,313.0,1.0
40.754318,-73.986865,552.0,1.1
40.7313938,-73.988565,1227.0,1.85
40.7313855,-73.9887572,1812.0,1.85
40.7510799,-74.0024878,5904.0,1.4
40.7577482,-73.9714516,426.0,1.0
40.7369623,-73.9845088,686.0,1.7
40.8151825,-73.9588379,517.0,1.0
40.7433226,-74.0068872,3794.0,1.5
40.758532,-73.9888431,1577.0,1.1
40.7627499,-73.9969249,1858.0,1.0
40.738552,-73.999684,8226.0,1.5
40.74347,-74.007238,3586.0,1.5
40.7640441,-73.9922513,149.0,1.0
40.749706,-73.991563,964.0,1.45
40.7514557,-73.9760254,1072.0,1.0
40.7729527,-73.9819546,92.0,1.0
40.7604088,-73.9874753,2793.0,1.1
40.7223502,-73.9862198,1956.0,1.95
40.728194,-73.984875,486.0,1.6
40.729258,-73.987191,2612.0,1.85
40.7653085,-73.9913292,333.0,1.0
40.7902981,-73.9693961,77.0,1.0
40.746392,-73.977636,1277.0,1.1
40.7765623,-73.9527041,2093.0,1.0
40.7510494,-73.9907438,306.0,1.3
40.749592,-74.002785,6945.0,1.4
40.756567,-73.990276,2096.0,1.1
40.7567712,-73.9827118,537.0,1.0
40.7716141,-73.9532199,267.0,1.0
40.76104,-73.975373,369.0,1.0
40.721248,-73.992237,3306.0,1.85
40.7578357,-73.9871893,1024.0,1.1
40.7591031,-73.992139,618.0,1.1
40.739272,-73.995446,872.0,1.6
40.7415262,-74.0049084,2224.0,1.5
40.7422567,-74.0043512,8287.0,1.75
40.755373,-73.987447,1450.0,1.1
40.7590024,-73.970533,577.0,1.0
40.7685835,-73.9852319,733.0,1.0
40.7752458,-73.9476241,157.0,1.0
40.73733,-73.992654,412.0,1.4
40.7485715,-73.9886575,852.0,1.3
40.7528582,-73.9929759,247.0,1.3
40.7572335,-73.9897914,2573.0,1.1
40.761771,-73.979057,1341.0,1.0
40.7811846,-73.9797549,231.0,1.0
40.7228919,-73.9797306,305.0,2.2
40.7422567,-74.0043512,8287.0,1.75
40.742839,-74.000275,685.0,1.6
40.749592,-74.002785,6945.0,1.4
40.7555037,-73.9680652,2003.0,1.0
40.7629781,-73.9718586,4194.0,1.0
40.7641596,-73.9847413,702.0,1.0
40.727261,-73.982657,820.0,1.85
40.746392,-73.977636,1277.0,1.1
40.7500365,-73.9913122,334.0,1.3
40.755373,-73.987447,1450.0,1.1
40.7655499,-73.9546935,110.0,1.0
40.7264834,-73.9771353,325.0,1.85
40.745058,-73.978607,1841.0,1.3
40.7477162,-73.9807612,116.0,1.2
40.723686,-73.996476,312.0,1.6
40.7246974,-73.9784259,1274.0,1.95
40.725473,-73.983958,2960.0,1.85
40.7404552,-74.0020106,1426.0,1.75
40.7433226,-74.0068872,3794.0,1.5
40.7496708,-73.9952986,1122.0,1.45
40.758532,-73.9888431,1577.0,1.1
40.7704,-73.954104,291.0,1.0
40.773644,-73.9598562,343.0,1.0
40.732929,-74.000066,907.0,1.85
40.738552,-73.999684,8226.0,1.5
40.739497,-73.982665,588.0,1.5
40.7428829,-74.0039992,2236.0,1.75
40.753554,-73.985043,774.0,1.0
40.7952534,-73.9732066,51.0,1.0
40.7258893,-73.9775646,377.0,1.85
40.738395,-74.003861,360.0,1.9
40.7521958,-73.9934597,880.0,1.3
40.7633546,-73.9828256,937.0,1.0
40.7646309,-73.9955449,2566.0,1.0
40.76661,-73.9866698,230.0,1.0
40.7736018,-73.9815725,165.0,1.0
40.725796,-73.986623,423.0,1.85
40.7369623,-73.9845088,686.0,1.7
40.739405,-74.006449,2965.0,1.9
40.739412,-74.00539,4411.0,1.9
40.742587,-73.98041,1315.0,1.35
40.744646,-74.006385,1981.0,1.8
40.7635505,-73.988899,843.0,1.0
40.7647083,-73.9879299,1598.0,1.0
40.7730129,-73.9603164,258.0,1.0
40.738044,-73.996337,395.0,1.75
40.7388264,-73.983148,2379.0,1.5
40.7403587,-74.0060505,2570.0,1.75
40.7604088,-73.9874753,2793.0,1.1
40.7609247,-73.9945259,403.0,1.0
40.7634284,-73.9927002,890.0,1.0
40.770106,-73.9574143,245.0,1.0
40.7737351,-73.9640105,64.0,1.0
40.7742266,-73.9811168,53.0,1.0
40.713796,-74.008832,311.0,1.45
40.732852,-74.007523,232.0,1.95
40.7336146,-74.0028201,2341.0,1.56666666667
40.7369124,-74.0055457,146.0,1.9
40.740942,-74.007483,4388.0,1.6
40.741668,-74.001129,1056.0,1.5
40.7484206,-73.9999852,133.0,1.6
40.7489802,-73.9879365,1100.0,1.1
40.7500365,-73.9913122,334.0,1.3
40.754707,-73.991633,668.0,1.3
40.7593108,-73.965291,486.0,1.0
40.7602724,-73.9675724,285.0,1.0
40.7609501,-73.9906714,2024.0,1.1
40.761667,-73.974915,214.0,1.0
40.735391,-73.998274,487.0,1.75
40.739088,-73.991375,490.0,1.6
40.739631,-74.006334,3571.0,1.9
40.750209,-74.002332,4263.0,1.4
40.7646694,-73.9917953,320.0,1.0
40.7320271,-73.9881036,651.0,1.85
40.7363766,-73.9849354,461.0,1.7
40.74047,-73.998287,1733.0,1.75
40.742254,-74.000703,528.0,1.75
40.748245,-73.976288,389.0,1.1
40.7614376,-73.9998036,381.0,1.15
40.710787,-73.959943,93.0,2.2
40.7209376,-73.9937177,4345.0,1.85
40.7270081,-73.9998648,1891.0,1.85
40.7363766,-73.9849354,461.0,1.7
40.736691,-73.99312,862.0,1.5
40.7440837,-73.9251532,76.0,1.0
40.7561419,-73.9831666,344.0,1.1
40.756766,-73.967152,2428.0,1.0
40.758037,-73.960182,20.0,1.0
40.7583747,-73.9709918,522.0,1.0
40.8003624,-73.9681447,92.0,1.0
40.744186,-73.991871,692.0,1.3
40.7516675,-73.9943167,169.0,1.3
40.7545043,-73.9656965,174.0,1.0
40.756567,-73.990276,2096.0,1.1
40.7614376,-73.9998036,381.0,1.15
40.7691032,-73.9885656,480.0,1.0
40.7972829,-73.9643013,81.0,1.0
40.715433,-74.007544,254.0,1.7
40.721248,-73.992237,3306.0,1.85
40.724283,-73.9908109,1659.0,1.85
40.725473,-73.983958,2960.0,1.85
40.726666,-73.98309,1916.0,1.85
40.7270081,-73.9998648,1891.0,1.85
40.7294404,-73.9780305,776.0,1.85
40.730428,-73.9803529,1253.0,1.75
40.7314023,-73.9826672,2229.0,1.5
40.7314023,-73.9826672,2229.0,1.5
40.737361,-73.99684,2098.0,1.5
40.7408505,-74.0051265,1862.0,1.75
40.7416561,-74.0048858,5018.0,1.75
40.745181,-73.982727,745.0,1.2
40.745726,-73.978121,2054.0,1.1
40.7597281,-73.9916837,585.0,1.1
40.7603,-73.9949814,459.0,1.0
40.7627399,-73.9596951,315.0,1.0
40.763659,-73.973465,1154.0,1.0
40.7646823,-73.9642995,106.0,1.0
40.7690611,-73.9611049,65.0,1.0
40.7794971,-73.9534887,321.0,1.0
40.711168,-73.948892,614.0,2.2
40.724494,-73.981637,670.0,1.95
40.726792,-73.988984,1460.0,1.85
40.735204,-73.991692,405.0,1.75
40.7361498,-73.9790244,62.0,1.6
40.7431199,-73.916801,16.0,1.0
40.7550366,-73.995101,152.0,1.3
40.7552844,-73.9949213,172.0,1.25
40.7584291,-73.9926299,724.0,1.1
40.7609858,-73.9907674,1474.0,1.1
40.7723305,-73.9527214,237.0,1.0
40.7724629,-73.9649361,44.0,1.0
40.7747491,-73.9881847,82.0,1.0
40.726958,-74.003445,85.0,1.85
40.726988,-73.985753,920.0,1.85
40.7284251,-73.9996723,3446.0,1.56666666667
40.729558,-73.989902,2137.0,1.85
40.7371445,-73.9742208,26.0,1.45
40.740115,-73.982211,269.0,1.3
40.743205,-73.979959,1175.0,1.35
40.745294,-73.998486,1562.0,1.4
40.745421,-73.990968,784.0,1.45
40.7508962,-73.9944062,468.0,1.45
40.7564522,-73.9703136,754.0,1.0
40.7609858,-73.9907674,1474.0,1.1
40.7615516,-73.9940688,747.0,1.0
40.7637382,-73.9620616,102.0,1.0
40.7694751,-73.9578726,214.0,1.0
40.7795072,-73.9555814,956.0,1.0
40.7877592,-73.9445419,64.0,1.0
40.706379,-74.009502,98.0,1.0
40.726666,-73.98309,1916.0,1.85
40.730428,-73.9803529,1253.0,1.75
40.7312679,-73.9886567,778.0,1.85
40.731706,-74.000954,847.0,1.85
40.735845,-74.00596,406.0,1.9
40.7403078,-74.0079577,1314.0,1.9
40.7453996,-73.9773216,2257.0,1.1
40.7700811,-73.9514145,67.0,1.0
40.7736444,-73.9517323,281.0,1.0
40.714362,-74.008387,465.0,1.45
40.7209376,-73.9937177,4345.0,1.85
40.7246273,-73.9876048,634.0,1.85
40.725073,-73.981211,580.0,1.85
40.7270585,-73.991472,3464.0,1.85
40.727599,-73.985307,1553.0,1.85
40.730197,-73.954245,66.0,1.8
40.7307238,-73.9890529,873.0,1.85
40.7332927,-73.9871818,1097.0,1.7
40.7339175,-74.0028914,661.0,1.85
40.737361,-73.99684,2098.0,1.5
40.740261,-74.005864,2476.0,1.5
40.743389,-73.986147,761.0,1.45
40.747296,-73.974044,273.0,1.0
40.750828,-74.001882,611.0,1.4
40.7510571,-73.9401865,250.0,1.0
40.7571246,-73.9719073,556.0,1.0
40.7603553,-73.9912267,991.0,1.1
