latitude,longitude,popularity,surcharge
40.756567,-73.990276,21097.0,1.58
40.7572335,-73.9897914,10722.0,1.58
40.749706,-73.991563,7069.0,1.62
40.752116,-73.975558,1174.0,1.33333333333
40.7502935,-73.9948451,1142.0,1.62
40.7795072,-73.9555814,1874.0,1.15
40.7844958,-73.9498403,434.0,1.225
40.749101,-73.992006,1691.0,1.62
40.752741,-73.975102,554.0,1.33333333333
40.7813273,-73.9461283,633.0,1.15
40.755951,-73.990726,4772.0,1.58
40.7515147,-73.9939557,5977.0,1.6
40.7647323,-73.9663588,2444.0,1.16666666667
40.7500365,-73.9913122,2265.0,1.56
40.7508962,-73.9944062,3031.0,1.62
40.7842389,-73.9470669,339.0,1.26666666667
40.7313565,-73.982557,1906.0,1.28
40.756606,-73.976504,1005.0,1.43333333333
40.7678186,-73.9639677,208.0,1.16666666667
40.773343,-73.9490092,213.0,1.0
40.7749252,-73.9507993,275.0,1.0
40.7766012,-73.9466301,557.0,1.15
40.7514557,-73.9760254,2441.0,1.33333333333
40.7746141,-73.9480817,395.0,1.0
40.7313565,-73.982557,1906.0,1.28
40.756567,-73.990276,21097.0,1.58
40.7515147,-73.9939557,5977.0,1.6
40.749706,-73.991563,7069.0,1.62
40.7844958,-73.9498403,434.0,1.225
40.7572335,-73.9897914,10722.0,1.58
40.7500365,-73.9913122,2265.0,1.56
40.742839,-74.000275,501.0,1.43333333333
40.7621957,-73.9661119,219.0,1.225
40.7151089,-74.0159512,60.0,1.3
40.7628063,-73.9656691,453.0,1.225
40.7823112,-73.9485053,626.0,1.225
40.7508962,-73.9944062,3031.0,1.62
40.7504155,-73.9913568,1219.0,1.56
40.7572335,-73.9897914,10722.0,1.58
40.756567,-73.990276,21097.0,1.58
40.7813783,-73.9521157,527.0,1.225
40.749706,-73.991563,7069.0,1.62
40.7620328,-73.9657401,332.0,1.225
40.732852,-74.007523,745.0,1.275
40.7515147,-73.9939557,5977.0,1.6
40.742811,-73.99658,750.0,1.43333333333
40.7508962,-73.9944062,3031.0,1.62
40.714767,-74.016198,10.0,1.3
40.755951,-73.990726,4772.0,1.58
40.7564882,-73.9977608,1269.0,1.66
40.715829,-74.015383,127.0,1.3
40.7369623,-73.9845088,493.0,1.36
40.7502935,-73.9948451,1142.0,1.62
40.7500365,-73.9913122,2265.0,1.56
40.7801739,-73.9550916,340.0,1.15
40.7524145,-73.9783711,1638.0,1.44
40.742587,-73.98041,1229.0,1.425
40.7514557,-73.9760254,2441.0,1.33333333333
40.741351,-73.981312,876.0,1.41666666667
40.7508497,-73.99444,578.0,1.62
40.785194,-73.9493307,335.0,1.26666666667
40.749706,-73.991563,7069.0,1.62
40.755951,-73.990726,4772.0,1.58
40.7508962,-73.9944062,3031.0,1.62
40.74108,-74.001555,1212.0,1.36
40.7500365,-73.9913122,2265.0,1.56
40.7515147,-73.9939557,5977.0,1.6
40.756567,-73.990276,21097.0,1.58
40.742901,-73.992805,1034.0,1.48
40.744498,-73.981109,687.0,1.475
40.7502935,-73.9948451,1142.0,1.62
40.74446,-73.9790542,830.0,1.48
40.756606,-73.976504,1005.0,1.43333333333
40.7608639,-73.9610636,426.0,1.1
40.742587,-73.98041,1229.0,1.425
40.7572335,-73.9897914,10722.0,1.58
40.7559713,-73.9769665,474.0,1.43333333333
40.7775056,-73.9549422,310.0,1.15
40.753367,-73.974648,523.0,1.33333333333
40.7772273,-73.9461727,380.0,1.15
40.7795072,-73.9555814,1874.0,1.15
40.7363766,-73.9849354,572.0,1.36
40.769462,-73.9518572,587.0,1.0
40.756567,-73.990276,21097.0,1.58
40.7572335,-73.9897914,10722.0,1.58
40.764324,-73.977196,764.0,1.5
