latitude,longitude,popularity,surcharge
40.756567,-73.990276,59333.0,1.0
40.749101,-73.992006,9310.0,1.0
40.752116,-73.975558,3977.0,1.0
40.7572335,-73.9897914,26664.0,1.0
40.749706,-73.991563,31686.0,1.0
40.7795072,-73.9555814,7649.0,1.28
40.756606,-73.976504,6372.0,1.0
40.752741,-73.975102,2373.0,1.0
40.7514557,-73.9760254,6651.0,1.0
40.7502935,-73.9948451,9145.0,1.0
40.7647323,-73.9663588,7049.0,1.0
40.755951,-73.990726,15123.0,1.0
40.7678186,-73.9639677,1380.0,1.0
40.7151089,-74.0159512,874.0,1.33333333333
40.7500365,-73.9913122,13072.0,1.0
40.7559713,-73.9769665,3900.0,1.0
40.7742922,-73.9512608,1356.0,1.1
40.7515147,-73.9939557,21077.0,1.0
40.773343,-73.9490092,1464.0,1.1
40.74446,-73.9790542,3086.0,1.0
40.7115654,-74.0158085,1126.0,1.5
40.7749252,-73.9507993,1169.0,1.1
40.7508962,-73.9944062,16321.0,1.0
40.7524145,-73.9783711,4494.0,1.0
40.742587,-73.98041,4168.0,1.0
40.7844958,-73.9498403,2048.0,1.38333333333
40.7784828,-73.9452574,967.0,1.225
40.7810592,-73.949421,1065.0,1.225
40.741351,-73.981312,3119.0,1.0
40.747684,-73.978788,1353.0,1.0
40.7713798,-73.9504717,2483.0,1.0
40.7730148,-73.9521898,948.0,1.1
40.732852,-74.007523,1824.0,1.0
40.7804348,-73.9498809,1046.0,1.225
40.744802,-73.991419,3655.0,1.0
40.744627,-73.985243,2700.0,1.0
40.7746141,-73.9480817,1663.0,1.1
40.739497,-73.982665,2935.0,1.0
40.7766012,-73.9466301,1693.0,1.225
40.7823112,-73.9485053,1837.0,1.42
40.740733,-73.981762,2363.0,1.0
40.7614376,-73.9998036,4093.0,1.0
40.7313565,-73.982557,4026.0,1.0
40.743205,-73.979959,3037.0,1.0
40.742901,-73.992805,3887.0,1.0
40.7844958,-73.9498403,2048.0,1.38333333333
40.745734,-73.980209,980.0,1.0
40.7621957,-73.9661119,1719.0,1.0
40.7813273,-73.9461283,1714.0,1.225
40.745294,-73.998486,2400.0,1.0
40.714767,-74.016198,485.0,1.36
40.7504155,-73.9913568,7446.0,1.0
40.74108,-74.001555,1978.0,1.0
40.7586317,-73.9657832,2083.0,1.0
40.745131,-73.9806552,1138.0,1.0
40.7465238,-73.9722121,672.0,1.0
40.7823112,-73.9485053,1837.0,1.42
40.743326,-73.984078,1388.0,1.0
40.743425,-73.999848,1549.0,1.0
40.7653573,-73.9658998,1428.0,1.0
40.7736444,-73.9517323,1251.0,1.1
40.74769,-74.004168,2164.0,1.0
40.7564882,-73.9977608,4484.0,1.0
40.7842389,-73.9470669,878.0,1.28
40.769462,-73.9518572,1850.0,1.0
40.744498,-73.981109,2172.0,1.0
40.748469,-73.992463,1937.0,1.0
40.7154264,-74.0166662,142.0,1.36666666667
40.7690611,-73.9611049,1777.0,1.0
40.7488769,-74.006932,1383.0,1.0
40.762396,-73.978601,1689.0,1.0
40.742811,-73.99658,1862.0,1.0
40.743782,-73.973512,2151.0,1.0
40.7553883,-73.9911346,5945.0,1.0
40.7795072,-73.9555814,7649.0,1.28
40.758532,-73.9888431,3392.0,1.0
40.7620328,-73.9657401,1802.0,1.0
40.7772273,-73.9461727,1233.0,1.225
40.7628063,-73.9656691,2620.0,1.0
40.731669,-74.006624,651.0,1.0
40.78168,-73.9489676,728.0,1.225
40.7381652,-73.9836326,1837.0,1.0
40.752178,-73.9777881,1061.0,1.0
40.747068,-73.979238,1576.0,1.0
40.7813783,-73.9521157,1467.0,1.38333333333
40.745058,-73.978607,3229.0,1.0
40.7604088,-73.9874753,1703.0,1.0
40.773622,-73.945728,405.0,1.0
40.7726941,-73.9494862,966.0,1.1
40.7795072,-73.9555814,7649.0,1.28
40.7723305,-73.9527214,2007.0,1.1
40.7634317,-73.9652142,3051.0,1.0
40.7754424,-73.98206,752.0,1.1
40.741617,-73.993739,2308.0,1.0
40.7510494,-73.9907438,5181.0,1.0
40.753367,-73.974648,1442.0,1.0
40.7752458,-73.9476241,1580.0,1.1
40.7835456,-73.9476028,1613.0,1.28
40.764324,-73.977196,2427.0,1.0
40.7646823,-73.9642995,1254.0,1.0
40.7521958,-73.9934597,3421.0,1.0
40.742233,-73.993292,3815.0,1.0
40.743265,-73.982009,1058.0,1.0
40.7671877,-73.962472,1341.0,1.0
40.733742,-74.006294,859.0,1.0
40.733054,-74.006407,978.0,1.0
40.7388264,-73.983148,2601.0,1.0
40.744186,-73.991871,2399.0,1.0
40.7729828,-73.9461966,609.0,1.0
40.7743723,-73.9635486,696.0,1.16666666667
40.757381,-73.966702,3296.0,1.0
40.7826258,-73.9512052,569.0,1.4
40.7795072,-73.9555814,7649.0,1.28
40.731166,-73.991921,560.0,1.0
40.7668574,-73.9537436,1748.0,1.0
40.7795072,-73.9555814,7649.0,1.28
40.7482941,-73.9783444,1804.0,1.0
40.7444619,-73.9730148,1628.0,1.0
40.7739762,-73.9485506,647.0,1.0
40.7692182,-73.9847694,1899.0,1.0
40.740115,-73.982211,1593.0,1.0
40.742839,-74.000275,1598.0,1.0
40.7522886,-73.9896878,1429.0,1.0
40.7675414,-73.953249,1120.0,1.0
40.7743723,-73.9635486,696.0,1.16666666667
40.7784828,-73.9452574,967.0,1.225
40.736691,-73.99312,1981.0,1.0
40.745421,-73.990968,3289.0,1.0
40.745726,-73.978121,3160.0,1.0
40.746941,-73.973193,527.0,1.0
40.7515124,-73.9782649,1036.0,1.0
40.7372222,-74.0006278,1198.0,1.0
40.73941,-73.9767,654.0,1.0
